Serotype	Coverage
14	97.1156578573
15B	56.9610738255
15C	56.9549578569
19F	49.2146067983
03	48.6457728768
36	48.147954379
01	45.0119460848
09N	43.9273552781
09L	43.912821386
13	42.5668811378
15A	41.4461604925
16F	40.2383390746
48	40.1486651861
11C	38.3963740355
35F	37.8121284185
23A	37.777053455
07F	37.636770557
07A	37.2606161532
24A	37.045828008
04	37.0444667335
19B	36.7303412463
32A	36.6058408545
32F	36.6030594543
07C	36.1488970588
24B	36.0428744213
25A	35.9468858678
05	35.8988482724
40	35.8397464916
25F	35.7837266643
29	34.377690932
19C	34.221511333
07B	33.9986941517
15F	33.7231098813
47F	33.5138499844
12A	33.4993543627
11B	33.325528303
18A	32.7956431535
24F	32.5788297608
45	32.436938243
20	32.1458773784
16A	31.4481616124
21	30.5086071987
43	28.903068151
44	28.8222111554
11A	28.5809794418
18B	28.5165257494
18C	28.5165257494
10A	28.4830258516
33B	28.4716386555
35B	28.1229365508
46	28.0962067728
09V	28.0337536558
12F	27.8649228311
12B	27.4942975416
11D	27.4369699082
09A	27.1337455572
10F	26.8008417418
10B	26.6242937853
23B	26.5749739674
08	26.1249548573
35A	25.9597465524
10C	25.2330777294
33A	24.63878327
11F	24.5347669404
02	24.4139203029
41A	23.3737400648
47A	23.0247521883
27	23.0184743743
33D	22.5034121929
28A	22.2115844902
34	21.6512955643
06A	21.3628557409
39	21.3126719443
41F	20.3333624225
06C	20.1647117544
18F	20.129288911
23B1	20.0293604918
33C	19.5489666436
22F	19.1312741313
35C	18.989970621
17F	18.2949731406
31	18.2043762689
33F	18.1224249559
28F	18.1043956044
22A	17.7629249292
42	17.5788497217
06B	15.7290963745
06E	15.223197253
17A	13.7117979223
23F	13.4750242745
06D	12.7965929832
19A	10.8695652174
38	6.82876357993
37	0.0
